Area,Month,age_label,index_column
Pacific,8,0-19,359
Pacific,8,20-39,367
Pacific,8,40-59,254
Pacific,8,60-79,107
Pacific,8,>=80,10
Pacific,9,0-19,291
Pacific,9,20-39,367
Pacific,9,40-59,222
Pacific,9,60-79,98
Pacific,9,>=80,4
Pacific,10,0-19,344
Pacific,10,20-39,417
Pacific,10,40-59,268
Pacific,10,60-79,105
Pacific,10,>=80,10
Pacific,11,0-19,296
Pacific,11,20-39,345
Pacific,11,40-59,228
Pacific,11,60-79,95
Pacific,11,>=80,12
Pacific,12,0-19,294
Pacific,12,20-39,381
Pacific,12,40-59,272
Pacific,12,60-79,102
Pacific,12,>=80,12
Rampart,1,0-19,281
Rampart,1,20-39,354
Rampart,1,40-59,176
Rampart,1,60-79,49
Rampart,1,>=80,5
Rampart,2,0-19,231
Rampart,2,20-39,362
Rampart,2,40-59,164
Rampart,2,60-79,57
Rampart,2,>=80,7
Rampart,3,0-19,325
Rampart,3,20-39,410
Rampart,3,40-59,230
Rampart,3,60-79,61
Rampart,3,>=80,8
Rampart,4,0-19,282
Rampart,4,20-39,440
Rampart,4,40-59,218
Rampart,4,60-79,61
Rampart,4,>=80,6
Rampart,5,0-19,310
Rampart,5,20-39,410
Rampart,5,40-59,205
Rampart,5,60-79,65
Rampart,5,>=80,3
Rampart,6,0-19,295
Rampart,6,20-39,363
Rampart,6,40-59,229
Rampart,6,60-79,69
Rampart,6,>=80,6
Rampart,7,0-19,288
Rampart,7,20-39,361
Rampart,7,40-59,183
Rampart,7,60-79,70
Rampart,7,>=80,8
Rampart,8,0-19,279
Rampart,8,20-39,371
Rampart,8,40-59,197
Rampart,8,60-79,59
Rampart,8,>=80,5
Rampart,9,0-19,284
Rampart,9,20-39,331
Rampart,9,40-59,182
Rampart,9,60-79,74
Rampart,9,>=80,7
Rampart,10,0-19,275
Rampart,10,20-39,429
Rampart,10,40-59,209
Rampart,10,60-79,69
Rampart,10,>=80,7
Rampart,11,0-19,264
Rampart,11,20-39,355
Rampart,11,40-59,184
Rampart,11,60-79,60
Rampart,11,>=80,9
Rampart,12,0-19,230
Rampart,12,20-39,376
Rampart,12,40-59,200
Rampart,12,60-79,62
Rampart,12,>=80,7
Southeast,1,0-19,288
Southeast,1,20-39,311
Southeast,1,40-59,179
Southeast,1,60-79,69
Southeast,1,>=80,5
Southeast,2,0-19,230
Southeast,2,20-39,298
Southeast,2,40-59,164
Southeast,2,60-79,57
Southeast,2,>=80,2
Southeast,3,0-19,300
Southeast,3,20-39,383
Southeast,3,40-59,254
Southeast,3,60-79,75
Southeast,3,>=80,4
Southeast,4,0-19,272
Southeast,4,20-39,425
Southeast,4,40-59,201
Southeast,4,60-79,65
Southeast,4,>=80,1
Southeast,5,0-19,298
Southeast,5,20-39,424
Southeast,5,40-59,260
Southeast,5,60-79,77
Southeast,5,>=80,1
Southeast,6,0-19,322
Southeast,6,20-39,475
Southeast,6,40-59,265
Southeast,6,60-79,75
Southeast,6,>=80,4
Southeast,7,0-19,274
Southeast,7,20-39,420
Southeast,7,40-59,218
Southeast,7,60-79,77
Southeast,7,>=80,7
Southeast,8,0-19,289
Southeast,8,20-39,398
Southeast,8,40-59,241
Southeast,8,60-79,85
Southeast,8,>=80,4
Southeast,9,0-19,292
Southeast,9,20-39,373
Southeast,9,40-59,239
Southeast,9,60-79,54
Southeast,9,>=80,5
Southeast,10,0-19,278
Southeast,10,20-39,412
Southeast,10,40-59,212
Southeast,10,60-79,60
Southeast,10,>=80,5
Southeast,11,0-19,265
Southeast,11,20-39,349
Southeast,11,40-59,208
Southeast,11,60-79,63
Southeast,11,>=80,5
Southeast,12,0-19,285
Southeast,12,20-39,447
Southeast,12,40-59,240
Southeast,12,60-79,57
Southeast,12,>=80,3
Southwest,1,0-19,193
Southwest,1,20-39,430
